target_id,attribute,entity,target_type,accuracy_score,skill_score,applicable_run_pass,applicable_custom,applicable_roles,internal_agreement_score,label_agreement_score,fai_agreement_score
pressure_play,qb_pressured,play,boolean,0.9367,0.8035,PASS,,,,,
time_to_pressure,time_to_pressure,play,continuous,,0.7549,PASS,qb_pressured,,,,
qb_scramble,qb_scramble,play,boolean,0.9993,0.9863,PASS,,,,,
qb_scramble_side,qb_scramble_side,play,categorical,0.9548,0.8889,PASS,qb_scramble,,,,
coverage_scheme,coverage_scheme,play,categorical,0.8067,0.6487,PASS,,,,,
man_zone_coverage,man_zone_coverage,play,categorical,0.8946,0.6958,PASS,,,,,
mof_coverage_played,middle_of_field_coverage_played,play,categorical,0.9431,0.8186,PASS,,,,,
qb_left_pocket,qb_left_pocket,play,boolean,0.9635,0.8138,PASS,,,,,
first_contact,first_contact,player_play,boolean,0.9809,0.7741,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
stop,stop_generated,player_play,boolean,0.9878,0.6942,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
fumble_forced,fumble_forced,player_play,boolean,0.9995,0.582,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
fumble_recovery,fumble_recovery,player_play,boolean,0.9995,0.2219,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
tackle_assist,tackle_assist,player_play,boolean,0.9843,0.2572,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
pass_batted,throw_batted_down,player_play,boolean,0.999,0.504,,,"['COVERAGE', 'PASS RUSH']",,,
interception_caught,interception_caught,player_play,boolean,0.9995,0.7958,,,"['COVERAGE', 'PASS RUSH']",,,
sack_missed,tackle_missed_on_qb,player_play,boolean,0.9991,0.3463,,,"['COVERAGE', 'PASS RUSH']",,,
defender_technique,defender_technique,player_play,categorical,0.7704,0.6408,,,"['RUN DEFENSE', 'PASS RUSH']",0.362,0.523,0.54
gap_assignment,gap_assignment,player_play,categorical,0.8429,0.7091,,,"['RUN DEFENSE', 'PASS RUSH']",0.607,0.633,0.608
gap_assignment_side,gap_assignment_side,player_play,categorical,0.9664,0.9002,,,"['RUN DEFENSE', 'PASS RUSH']",,,
sack_allowed,sack_allowed,player_play,boolean,0.9974,0.6681,,,['PASS BLOCK'],,,
pressure_allowed,pressure_allowed,player_play,boolean,0.974,0.6049,,,['PASS BLOCK'],,,
hurry_allowed,hurry_allowed,player_play,boolean,0.9756,0.4744,,,['PASS BLOCK'],,,
block_loss,block_loss,player_play,boolean,0.9728,0.3349,,,['PASS BLOCK'],,,
grade_numerical_frame,grade,player_frame,continuous,,0.3023,,,,,,
interception_frame,interception_thrown,player_frame,boolean,0.9847,0.4097,,,['PASS'],,,
touchdown_player_frame,touchdown_scored,player_frame,boolean,0.9876,0.3871,,,"['PASS', 'PASS ROUTE', 'RUN']",,,
rush_yards_frame,rushing_yards,player_frame,continuous,,0.5889,,,"['PASS', 'RUN']",,,
rush_success_frame,rushing_success,player_frame,boolean,0.7789,0.4153,,,"['PASS', 'RUN']",,,
tackle_frame,tackle,player_frame,boolean,0.9506,0.3049,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
first_contact_frame,first_contact,player_frame,boolean,0.9524,0.3605,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
stop_frame,stop_generated,player_frame,boolean,0.977,0.2925,,,"['RUN DEFENSE', 'COVERAGE', 'PASS RUSH']",,,
